CBS;easyDB (ohne Pfad/Hierarchie);System-ID;Bemerkung
(New York);New York;18766;
Abidjan;Abidjan;44730;
Accra;Accra;721355;
Amiens;Amiens;721356;
Antwerpen;Antwerpen;694276;
Ashtead;Ashtead;721357;
Atlanta, GA;Atlanta;721358;
Bad Kreuznach;Bad Kreuznach;44343;
Bagneux;Bagneux;721359;
Bagnolet;Bagnolet;721360;
Bamako;Bamako;721361;
Bath;Bath;721362;
Belgien;Belgien;40641;
Belgique;Belgien;40641;
Berlin;Berlin;3;
Bobigny;Bobigny;721363;
Bobigny, France;Bobigny;721363;
Boissy sous Saint Yon;Boissy-sous-Saint-Yon;721364;
Brazzaville;Brazzaville;721365;
Brighton;Brighton;700967;
Bristol;Bristol;688338;
Brooklyn, N.Y.;Brooklyn ;721366;
Brussel;Brüssel;721367;
Brüssel;Brüssel;721367;
Brussels;Brüssel;721367;
Bruxelles;Brüssel;721367;
Bruxelles u.a.;Brüssel;721367;
Cambridge, Ma.;Cambridge, Mass.;721368;
Cambridge, Mass.;Cambridge, Mass.;721368;
Cape Town;Kapstadt;721369;
Cauffry;Cauffry;721370;
Champigny;Champigny-sur-Marne;721371;
Chanteloup Les Vignes;Chanteloup-les-Vignes;721372;
Charlotte, VT;Charlotte, VT;721373;
Clichy;Clichy ;721374;
Clichy la Garenne;Clichy ;721374;
Clichy La Garenne;Clichy ;721374;
Clichy-la-Garenne;Clichy ;721374;
Corsham;Corsham;721375;
Corsham, Wiltshire;Corsham;721375;
Cotonou;Cotonou;721376;
Courcouronnes;Courcouronnes;721377;
Dakar;Dakar;44728;
Daressalaam;Daressalaam;721378;
Dar es Salaam;Daressalaam;721378;
Douala;Douala;721379;
Doula;Douala;721379;
DR Congo;Demokratische Republik Kongo;9158;
DR Kongo;Demokratische Republik Kongo;9158;
Eindhoven;Eindhoven;721380;
Elfenbeinküste;Elfenbeinküste;43116;
Épinay-Sur-Seine;Épinay-sur-Seine;721381;
Erscheinungsort nicht ermittelbar;unbekannt;4035;
Etampes;Étampes;721382;
Étampes;Étampes;721382;
Evry;Évry;721383;
France;Frankreich;4050;
Frankfurt;Frankfurt am Main;19591;
Frankfurt Main;Frankfurt am Main;19591;
Frankreich;Frankreich;4050;
Freetown;Freetown;721384;
Freiburg im Breisgau;Freiburg im Breisgau;676953;
Garges-les-Gonesses;Garges-lès-Gonesse;721385;
Garoua;Garoua;721386;
Genève;Genf;687714;
Ghana;Ghana;43113;
Grahamstown;Grahamstown;721387;
Großbritannien;Vereinigtes Königreich;4799;
Hamburg;Hamburg;45820;
Harare;Harare;721388;
Hayes;Hayes;721389;
Hayes, Middlesex;Hayes;721389;
Heerlen;Heerlen;721390;
Ho-Ho-Kus, N.J.;Ho-Ho-Kus;721391;
Ikeja, Lagos;Ikeja;721392;
Ixelles;Ixelles;721393;
Japan;Japan;20581;
Kassel u.a.;Kassel;688325;
Kenia;Kenia;25181;
Kenya;Kenia;25181;
Kericho, Kenya;Kericho;721394;
Kinshasa;Kinshasa;23928;
Kinshasa ;Kinshasa;23928;
Kinshasa u.a.;Kinshasa;23928;
Kisumu;Kisumu;721395;
Köln;Köln;721396;
Kongo;Demokratische Republik Kongo;9158;
Kontich;Kontich;721397;
Koumassi, Abidjan;Koumassi;721398;
Lagos;Lagos;24258;
La Rochelle;La Rochelle;721399;
Lausanne;Lausanne;721400;
Léopoldville;Kinshasa;23928;
Léopoldville (Kinshasa);Kinshasa;23928;
Les Lilas;Les Lilas;721401;
Libreville;Libreville;43184;
Libreville ;Libreville;43184;
Lomé;Lomé;44372;
London;London;18181;
London u.a.;London;18181;
Luanda;Luanda;721402;
Lusaka;Lusaka;721403;
Mamerun;Kamerun;21921;Fehler im CBS
Monrovia;Monrovia;721404;
Montigny les Cormeilles;Montigny-lès-Cormeilles;721405;
Montreal;Montreal;5053;
Nairobi;Nairobi;680199;
Nairoby;Nairobi;680199;
Nanterre;Nanterre;721406;
Neuilly-sur-Seine;Neuilly-sur-Seine;721407;
Newton;Newton, NJ;721408;
Newton, NJ;Newton, NJ;721408;
New York;New York;18766;
Niederlande;Niederlande;678227;
Nieuwrode;Nieuwrode;721409;
Nieuwrode u.a.;Nieuwrode;721409;
Noisy le Sec;Noisy-le-Sec;721410;
Noisy-le-Sec;Noisy-le-Sec;721410;
Orlando, FL;"	Orlando, Fla.";721411;
Ort nicht ermittelbar;unbekannt;4035;
Ort  nicht ermittelbar;unbekannt;4035;
Österreich;Österreich;4790;
Pantin;Pantin;721412;
Paray-Vieille-Poste;Paray-Vieille-Poste;721413;
Paris;Paris;17840;
Paris u.a.;Paris;17840;
Pierrefitte;Pierrefitte-sur-Seine;721414;
Pierrefitte, France;Pierrefitte-sur-Seine;721414;
Pointe-à-Pitre;Pointe-à-Pitre;721415;
Pointe-a-Pitre;Pointe-à-Pitre;721415;
Pointe Noire;Pointe-Noire;721416;
Rantigny;Rantigny;721417;
Redway, CA;Redway, CA;721418;
Roissy-en-Brie;Roissy-en-Brie;721419;
S.l;unbekannt;4035;
S.L;unbekannt;4035;
S.l.;unbekannt;4035;
S.L.;unbekannt;4035;
San Lorenzo/CA;San Lorenzo;721420;
São Paulo;São Paulo;721421;
Sarcelles;Sarcelles;721422;
Simbabwe;Simbabwe;44360;
South Pasadena;South Pasadena;721423;
St. Ouen;Saint-Ouen;721424;
Stains;Stains;721425;
Südafrika;Südafrika;4802;
Tanzania;Tansania;41997;
Tervuren;Tervuren;721426;
Tivoli, N.Y.;Tivoli, NY;721427;
Tivoli (New York);Tivoli, NY;721427;
Tokio;Tokio;721428;
Toulouse;Toulouse;721429;
Tourcoing;Tourcoing;721430;
Turnhout, Belgique;Turnhout;721431;
U.K.;Vereinigtes Königreich;4799;
United Kingdom;Vereinigtes Königreich;4799;
USA;USA;4788;
Utrecht;Utrecht;704754;
Vich, Suisse;Vich;721432;
Villepinte;Villepinte;721433;
Villetaneuse (Seine);Villetaneuse;721434;
Vitry s. Seine;Vitry-sur-Seine;721435;
Washington D.C.;Washington, DC;721436;
Weesp;Weesp;721437;
Wiltshire;Wiltshire;706260;
Yaounde;Yaoundé;25065;
Zaire;Republik Zaire;721438;
Zaïre;Republik Zaire;721438;
Zimbabwe;Simbabwe;44360;
Zürich;Zürich;716251;
